,vaccines,efficacy,Trail_Completed,Paths,Info,Interval
0,astrazeneca,81.3,0,./assets/Pharmaceuticals/Astrazeneca.png,"The Oxford–AstraZeneca COVID-19 vaccine, codenamed AZD1222  and sold under the brand names Covishield and Vaxzevria among others, is a viral vector vaccine for prevention of COVID-19. Developed by Oxford University and AstraZeneca, it is given by intramuscular injection, using as a vector the modified chimpanzee adenovirus ChAdOx1. The efficacy of the vaccine is 76.0% at preventing symptomatic COVID-19 beginning at 22 days following the first dose and 81.3% after the second dose.",22
1,cansinobio,74.8,0,./assets/Pharmaceuticals/CanSinoBio.jpeg,"AD5-nCOV, trade-named Convidecia, is a single-dose viral vector vaccine for COVID-19 developed by CanSino Biologics. Since late 2020, it has been in Phase III trials in Argentina, Chile, Mexico, Pakistan Russia, and Saudi Arabia with 40,000 participants. Its single-dose regimen and normal refrigerator storage requirement (2°to 8 °C) could make it a favourable vaccine option for many countries. In February 2021, data released from an interim analysis of Phase III trials with 30,000 participants and 101 COVID cases showed that globally, the vaccine had an efficacy of 65.7% at preventing moderate cases of COVID-19 and 90.98% efficacy at preventing severe cases. In the Pakistan trial subset, the vaccine had an efficacy of 74.8% at preventing symptomatic cases 100% for preventing severe disease.",Single
2,morderna,80,0,./assets/Pharmaceuticals/Morderna.png,"The Moderna COVID‑19 vaccine, codenamed mRNA-1273, is a COVID-19 vaccine developed by Moderna, the United States National Institute of Allergy and Infectious Diseases (NIAID) and the Biomedical Advanced Research and Development Authority (BARDA).High efficacy is achieved with full immunization, two weeks after the second dose, and was evaluated at 94.1%: at the end of the vaccine study that led to emergency authorization in the USA. Moderna vaccine effectiveness of full immunization (14 days or more after second dose) was 90% against SARS-CoV-2 infections, regardless of symptoms, and vaccine effectiveness of partial immunization (14 days or more after first dose but before second dose) was 80%. ",14
3,johnsonjohnson,85,0,./assets/Pharmaceuticals/JohnsonJohnson.png,"The Johnson & Johnson COVID-19 vaccine is a COVID-19 vaccine that was developed by Janssen Vaccines in Leiden, Netherlands, and its Belgian parent company Janssen Pharmaceuticals, subsidiary of American company Johnson & Johnson. It is a viral vector vaccine based on a human adenovirus that has been modified to contain the gene for making the spike protein of the SARS-CoV-2 virus that causes COVID-19. the vaccine was 66% effective in a one-dose regimen in preventing symptomatic COVID-19, with an 85% efficacy in preventing severe COVID-19.",Single
4,epivax,0,0,./assets/Pharmaceuticals/EpiVax.jpeg,,
5,covaxin,78,0,./assets/Pharmaceuticals/Covaxin.jpeg,"BBV152 (also known as Covaxin) is an inactivated virus-based COVID-19 vaccine developed by Bharat Biotech in collaboration with the Indian Council of Medical Research. As on March 2021, the stated interim efficacy rate for phase III trial is 81%. In April 2021, Bharat Biotech reported that efficacy dropped to 78%, in its interim analysis of its phase 3 trial.",48
6,pfizer,95,0,./assets/Pharmaceuticals/Pfizer.png,"The Pfizer–BioNTech COVID-19 vaccine (INN: tozinameran), sold under the brand name Comirnaty,[3] is an mRNA-based COVID-19 vaccine. It is used in people aged 12 years and older to provide protection against infection by the SARS-CoV-2 virus, which causes COVID-19. An interim analysis of study data showed a potential efficacy of 91.3% in preventing infection within seven days of a second dose. The Phase III trial assesses the safety, efficacy, tolerability, and immunogenicity of BNT162b2 at a mid-dose level (two injections separated by 21 days) in three age groups: 12–15 years, 16–55 years or above 55 years. For approval in the EU, an overall vaccine efficacy of 95% was confirmed by the EMA.",21
7,sinopharm,90,0,./assets/Pharmaceuticals/Sinopharm.png,"Sinopharm BBIBP-CorV, also known as the Sinopharm COVID-19 vaccine, is one of two inactivated virus COVID-19 vaccines developed by Sinopharm. In late December 2020, it was in Phase III trials in Argentina, Bahrain, Egypt, Morocco, Pakistan, Peru, and the United Arab Emirates (UAE) with over 60,000 participants. Based on data provided to WHO, the vaccine shows 78.1% efficacy against symptomatic COVID-19 in phase III trials, (21 cases in vaccinated group vs. 95 cases in placebo group). Real-world test-negative analysis in Bahrain (based on 14 days post 2nd dose) indicated a vaccine effectiveness of 90% for adults aged 18-59, and 91% for those 60 year old or older.",28
8,sinovac,83.5,0,./assets/Pharmaceuticals/Sinovac.jpeg,"CoronaVac, also known as the Sinovac COVID-19 vaccine,is an inactivated virus COVID-19 vaccine developed by the Chinese company Sinovac Biotech. It has been in Phase III clinical trials in Brazil, Chile, Indonesia, the Philippines, and Turkey. CoronaVac does not need to be frozen, and both the vaccine and raw material for formulating the new doses could be transported and refrigerated at 2–8 °C (36–46 °F), temperatures at which flu vaccines are kept. CoronaVac found it 67% effective against symptoms,Final Phase III results from Turkey announced on 3 March 2021 showed an efficacy of 83.5%",21
9,abdala,0,0,./assets/Pharmaceuticals/Abdala.png,"ABDALA, technical name CIGB-66, is a COVID-19 vaccine candidate developed by the Center for Genetic Engineering and Biotechnology in Cuba. The Phase III trial compares 3 doses of the vaccine administered at 0, 14 and 28 days against a placebo, with the primary outcome measuring the proportion of cases reported for each group 14 days after the third dose.",28
10,sputnikv,91.5,0,./assets/Pharmaceuticals/SputnikV.jpeg,"Sputnik V (Russian: Спутник V) is a viral vector vaccine for COVID-19 developed by the Gamaleya Research Institute of Epidemiology and Microbiology. Registered on 11 August 2020 by the Russian Ministry of Health as Gam-COVID-Vac (Russian: Гам-КОВИД-Вак, romanized: Gam-KOVID-Vak), Sputnik V is an adenovirus viral vector vaccine.The V in its name however doesn't stands for the alphabet 'v' (for vaccine) but the Roman numerical. On 2 February 2021, an interim analysis from the trial was published in The Lancet, indicating 91.6% efficacy without unusual side effects.",Single